,country,country_name,2017_ElectHouse,2018_ElectHouse,2019_ElectHouse,2020_ElectHouse,2021_ElectHouse,2017_GasHouse,2018_GasHouse,2019_GasHouse,2020_GasHouse,2021_GasHouse
0,AT,Austria,0.0613,0.0623,0.0687,0.0732,0.0745,0.0299,0.0304,0.0312,0.0308,0.0316
1,BA,Bosnia and Herzegovina,0.0342,0.0338,0.0361,0.0365,0.0726,0.024,0.024,0.0249,0.0258,0.02555
2,BE,Belgium,0.0735,0.0808,0.0859,0.0786,0.0844,0.0283,0.0288,0.0289,0.0252,0.0315
3,BG,Bulgaria,0.0575,0.0585,0.0558,0.056,0.0608,0.017,0.0209,0.024,0.0177,0.0331
4,CZ,Czechia,0.0541,0.057,0.069,0.0749,0.0979,0.036,0.039,0.0455,0.0431,0.0448
5,DE,Germany (until 1990 former territory of the FRG),0.0686,0.0622,0.0581,0.0574,0.0803,0.02555,0.02555,0.0278,0.0292,0.0293
6,DK,Denmark,0.0388,0.0503,0.0539,0.0409,0.0747,0.0234,0.0259,0.0209,0.016,0.0415
7,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",0.076,0.0801,0.0727,0.0697,0.0726,0.0295,0.0303,0.0319,0.0302,0.02555
8,EE,Estonia,0.0442,0.0518,0.0533,0.0444,0.0764,0.0234,0.0239,0.0253,0.024,0.0361
9,EL,Greece,0.084,0.0863,0.09,0.1021,0.1182,0.02555,0.0311,0.0338,0.0258,0.02555
10,ES,Spain,0.1199,0.1458,0.0668,0.0541,0.1304,0.02555,0.02555,0.0318,0.0277,0.0313
11,EU27_2020,European Union - 27 countries (from 2020),0.0698,0.0741,0.0686,0.0655,0.0726,0.0275,0.0284,0.031,0.0292,0.02555
12,FR,France,0.0606,0.0612,0.0655,0.0701,0.0727,0.031,0.0317,0.0342,0.031,0.0325
13,GE,Georgia,0.0726,0.0329,0.0364,0.0426,0.0487,0.02555,0.008,0.0075,0.0059,0.0058
14,HR,Croatia,0.0575,0.0583,0.0589,0.058,0.0579,0.0206,0.0212,0.0229,0.0234,0.0221
15,HU,Hungary,0.0462,0.0448,0.0419,0.0352,0.0341,0.019,0.0183,0.0184,0.0156,0.0164
16,IE,Ireland,0.1039,0.1146,0.1252,0.1097,0.1233,0.0302,0.0304,0.0351,0.0325,0.0328
17,IT,Italy,0.0958,0.1043,0.0964,0.0925,0.1127,0.02555,0.02555,0.0366,0.0327,0.0354
18,LI,Liechtenstein,0.0645,0.0783,0.0817,0.0827,0.0859,0.0257,0.0253,0.0293,0.0257,0.0319
19,LT,Lithuania,0.0382,0.035,0.0478,0.0484,0.0505,0.0174,0.0216,0.0238,0.0183,0.0182
20,LU,Luxembourg,0.053,0.0548,0.0581,0.0668,0.0682,0.0216,0.0245,0.0258,0.0212,0.0291
21,LV,Latvia,0.0474,0.0492,0.0593,0.0567,0.0725,0.0207,0.023,0.0227,0.0133,0.0184
22,MD,Moldova,0.0661,0.063,0.0607,0.0648,0.0554,0.0234,0.0186,0.021,0.0194,0.0232
23,MK,North Macedonia,0.0516,0.0504,0.0475,0.0493,0.0494,0.0371,0.0357,0.0454,0.038,0.0396
24,NL,Netherlands,0.0615,0.0643,0.078,0.0779,0.0792,0.0293,0.0305,0.0339,0.0316,0.03
25,PL,Poland,0.0459,0.0443,0.0426,0.0469,0.0442,0.0237,0.0246,0.0274,0.0243,0.0236
26,PT,Portugal,0.0561,0.0525,0.0713,0.0702,0.0726,0.0333,0.0326,0.0347,0.0357,0.02555
27,RO,Romania,0.0485,0.0569,0.0586,0.0612,0.071,0.0168,0.0197,0.0204,0.0192,0.0237
28,RS,Serbia,0.024,0.0251,0.0259,0.0252,0.0236,0.0264,0.0266,0.0267,0.0265,0.0263
29,SE,Sweden,0.039,0.0508,0.0526,0.041,0.0736,0.0314,0.0405,0.0405,0.045,0.0817
30,SI,Slovenia,0.0544,0.0551,0.059,0.0645,0.0663,0.0243,0.0255,0.0267,0.0254,0.0264
31,SK,Slovakia,0.0391,0.0442,0.0543,0.0663,0.061,0.0213,0.0218,0.0234,0.024,0.0195
32,TR,Turkey,0.0501,0.043,0.048,0.0406,0.0376,0.0159,0.0118,0.0142,0.0126,0.011
33,UA,Ukraine,0.0726,0.0726,0.0726,0.0,0.0726,0.02555,0.0,0.0,0.0183,0.02555
34,UK,United Kingdom,0.082,0.0956,0.0989,0.0726,0.0726,0.0308,0.0329,0.0346,0.02555,0.02555
