,country,country_name,2012-S2,2013-S2,2014-S2,2015-S2,2016-S2,2017,2018,2019,2020,2021
0,AL,Albania,,,,,,0.0713,0.0759,0.0778,,0.0781
1,AT,Austria,,,,,,0.0613,0.0623,0.0687,0.0732,0.0745
2,BA,Bosnia and Herzegovina,,,,,,0.0342,0.0338,0.0361,0.0365,
3,BE,Belgium,,,,,,0.0735,0.0808,0.0859,0.0786,0.0844
4,BG,Bulgaria,,,,,,0.0575,0.0585,0.0558,0.056,0.0608
5,CY,Cyprus,,,,,,0.1036,0.1157,0.1241,0.1042,0.1094
6,CZ,Czechia,,,,,,0.0541,0.057,0.069,0.0749,0.0979
7,DE,Germany (until 1990 former territory of the FRG),,,,,,0.0686,0.0622,0.0581,0.0574,0.0803
8,DK,Denmark,,,,,,0.0388,0.0503,0.0539,0.0409,0.0747
9,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",,,,,,0.076,0.0801,0.0727,0.0697,0.0898
10,EE,Estonia,,,,,,0.0442,0.0518,0.0533,0.0444,0.0764
11,EL,Greece,,,,,,0.084,0.0863,0.09,0.1021,0.1182
12,ES,Spain,,,,,,0.1199,0.1458,0.0668,0.0541,0.1304
13,EU27_2020,European Union - 27 countries (from 2020),,,,,,0.0698,0.0741,0.0686,0.0655,0.0846
14,FI,Finland,,,,,,0.0483,0.0498,0.0554,0.0532,0.0557
15,FR,France,,,,,,0.0606,0.0612,0.0655,0.0701,0.0727
16,GE,Georgia,,,,,,,0.0329,0.0364,0.0426,0.0487
17,HR,Croatia,,,,,,0.0575,0.0583,0.0589,0.058,0.0579
18,HU,Hungary,,,,,,0.0462,0.0448,0.0419,0.0352,0.0341
19,IE,Ireland,,,,,,0.1039,0.1146,0.1252,0.1097,0.1233
20,IS,Iceland,,,,,,0.0489,0.0483,0.047,0.0407,0.0438
21,IT,Italy,,,,,,0.0958,0.1043,0.0964,0.0925,0.1127
22,LI,Liechtenstein,,,,,,0.0645,0.0783,0.0817,0.0827,0.0859
23,LT,Lithuania,,,,,,0.0382,0.035,0.0478,0.0484,0.0505
24,LU,Luxembourg,,,,,,0.053,0.0548,0.0581,0.0668,0.0682
25,LV,Latvia,,,,,,0.0474,0.0492,0.0593,0.0567,0.0725
26,MD,Moldova,,,,,,0.0661,0.063,0.0607,0.0648,0.0554
27,ME,Montenegro,,,,,,0.0378,0.04,0.0416,0.0428,0.0428
28,MK,North Macedonia,,,,,,0.0516,0.0504,0.0475,0.0493,0.0494
29,MT,Malta,,,,,,0.0985,0.098,0.0971,0.0906,0.0953
30,NL,Netherlands,,,,,,0.0615,0.0643,0.078,0.0779,0.0792
31,NO,Norway,,,,,,0.0433,0.0575,0.0553,0.0254,0.0768
32,PL,Poland,,,,,,0.0459,0.0443,0.0426,0.0469,0.0442
33,PT,Portugal,,,,,,0.0561,0.0525,0.0713,0.0702,0.0726
34,RO,Romania,,,,,,0.0485,0.0569,0.0586,0.0612,0.071
35,RS,Serbia,,,,,,0.024,0.0251,0.0259,0.0252,0.0236
36,SE,Sweden,,,,,,0.039,0.0508,0.0526,0.041,0.0736
37,SI,Slovenia,,,,,,0.0544,0.0551,0.059,0.0645,0.0663
38,SK,Slovakia,,,,,,0.0391,0.0442,0.0543,0.0663,0.061
39,TR,Turkey,,,,,,0.0501,0.043,0.048,0.0406,0.0376
40,UA,Ukraine,,,,,,,,,0.0,
41,UK,United Kingdom,,,,,,0.082,0.0956,0.0989,,
42,XK,Kosovo (under United Nations Security Council Resolution 1244/99),,,,,,0.0334,0.032,0.0191,0.0217,0.0252
