,country,country_name,2017,2018,2019,2020,2021
0,AT,Austria,0.0299,0.0304,0.0312,0.0308,0.0316
1,BA,Bosnia and Herzegovina,0.024,0.024,0.0249,0.0258,
2,BE,Belgium,0.0283,0.0288,0.0289,0.0252,0.0315
3,BG,Bulgaria,0.017,0.0209,0.024,0.0177,0.0331
4,CZ,Czechia,0.036,0.039,0.0455,0.0431,0.0448
5,DE,Germany (until 1990 former territory of the FRG),,,0.0278,0.0292,0.0293
6,DK,Denmark,0.0234,0.0259,0.0209,0.016,0.0415
7,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",0.0295,0.0303,0.0319,0.0302,
8,EE,Estonia,0.0234,0.0239,0.0253,0.024,0.0361
9,EL,Greece,,0.0311,0.0338,0.0258,
10,ES,Spain,,,0.0318,0.0277,0.0313
11,EU27_2020,European Union - 27 countries (from 2020),0.0275,0.0284,0.031,0.0292,
12,FR,France,0.031,0.0317,0.0342,0.031,0.0325
13,GE,Georgia,,0.008,0.0075,0.0059,0.0058
14,HR,Croatia,0.0206,0.0212,0.0229,0.0234,0.0221
15,HU,Hungary,0.019,0.0183,0.0184,0.0156,0.0164
16,IE,Ireland,0.0302,0.0304,0.0351,0.0325,0.0328
17,IT,Italy,,,0.0366,0.0327,0.0354
18,LI,Liechtenstein,0.0257,0.0253,0.0293,0.0257,0.0319
19,LT,Lithuania,0.0174,0.0216,0.0238,0.0183,0.0182
20,LU,Luxembourg,0.0216,0.0245,0.0258,0.0212,0.0291
21,LV,Latvia,0.0207,0.023,0.0227,0.0133,
22,MD,Moldova,0.0234,0.0186,0.021,0.0194,0.0232
23,MK,North Macedonia,0.0371,0.0357,0.0454,0.038,
24,NL,Netherlands,0.0293,0.0305,0.0339,0.0316,0.03
25,PL,Poland,0.0237,0.0246,0.0274,0.0243,0.0236
26,PT,Portugal,0.0333,0.0326,0.0347,0.0357,
27,RO,Romania,0.0168,0.0197,0.0204,0.0192,0.0237
28,RS,Serbia,0.0264,0.0266,0.0267,0.0265,0.0263
29,SE,Sweden,0.0314,0.0405,0.0405,0.045,0.0817
30,SI,Slovenia,0.0243,0.0255,0.0267,0.0254,0.0264
31,SK,Slovakia,0.0213,0.0218,0.0234,0.024,0.0195
32,TR,Turkey,0.0159,0.0118,0.0142,0.0126,0.011
33,UA,Ukraine,,0.0,0.0,0.0183,
34,UK,United Kingdom,0.0308,0.0329,0.0346,,
